iter	Passed	Remaining
765	4693	1433
766	4697	1427
767	4701	1420
768	4705	1413
769	4709	1406
770	4716	1400
771	4724	1395
772	4728	1388
773	4735	1382
774	4741	1376
775	4754	1372
776	4759	1365
777	4772	1361
778	4778	1355
779	4786	1349
780	4791	1343
781	4800	1338
782	4806	1332
783	4811	1325
784	4822	1320
785	4831	1315
786	4838	1309
787	4842	1302
788	4846	1296
789	4851	1289
790	4855	1282
791	4859	1276
792	4863	1269
793	4867	1262
794	4871	1256
795	4875	1249
796	4880	1243
797	4884	1236
798	4888	1229
799	4892	1223
800	4895	1216
801	4899	1209
802	4906	1203
803	4911	1197
804	4915	1190
805	4919	1184
806	4922	1177
807	4926	1170
808	4929	1163
809	4934	1157
810	4939	1151
811	4943	1144
812	4948	1138
813	4952	1131
814	4956	1125
815	4961	1118
816	4966	1112
817	4970	1105
818	4974	1099
819	4979	1092
820	4984	1086
821	4988	1080
822	4992	1073
823	4997	1067
824	5002	1061
825	5008	1054
826	5015	1049
827	5021	1043
828	5025	1036
829	5029	1030
830	5033	1023
831	5038	1017
832	5042	1010
833	5047	1004
834	5051	998
835	5055	991
836	5059	985
837	5064	978
838	5070	973
839	5077	967
840	5082	960
841	5086	954
842	5090	947
843	5094	941
844	5098	935
845	5102	928
846	5106	922
847	5110	916
848	5114	909
849	5118	903
850	5122	896
851	5125	890
852	5129	884
853	5133	877
854	5137	871
855	5141	864
856	5144	858
857	5148	852
858	5153	845
859	5158	839
860	5163	833
861	5168	827
862	5172	821
863	5176	814
864	5180	808
865	5186	802
866	5190	796
867	5198	790
868	5205	784
869	5209	778
870	5213	772
871	5217	765
872	5222	759
873	5226	753
874	5229	747
875	5233	740
876	5237	734
877	5241	728
878	5245	722
879	5249	715
880	5257	710
881	5263	704
882	5273	698
883	5277	692
884	5288	687
885	5293	681
886	5301	675
887	5305	669
888	5310	663
889	5314	656
890	5318	650
891	5323	644
892	5327	638
893	5331	632
894	5335	625
895	5339	619
896	5343	613
897	5348	607
898	5352	601
899	5356	595
900	5360	588
901	5364	582
902	5368	576
903	5371	570
904	5376	564
905	5380	558
906	5386	552
907	5395	546
908	5401	540
909	5406	534
910	5415	529
911	5420	523
912	5428	517
913	5437	511
914	5447	506
915	5452	500
916	5457	493
917	5464	488
918	5470	482
919	5478	476
920	5483	470
921	5492	464
922	5499	458
923	5506	452
924	5514	447
925	5519	441
926	5523	434
927	5527	428
928	5531	422
929	5535	416
930	5541	410
931	5550	404
932	5554	398
933	5558	392
934	5562	386
935	5566	380
936	5570	374
